rowid,user,ts,ts converted,new ts,,channel,text,agreeableness,conscientiousness,extraversion,openness,adventurer,advocate,architect,campaigner,commander,consul,debater,defender,entertainer,entrepreneur,executive,logician,logistician,mediator,protagonist,virtuoso,anger,fear,joy,sadness,surprise,final_sentiment
49,U0X6CUQ3D,3/04/2016 4:24,4/04/2016 2:11,4/04/2016 2:11,21,General,hey guy anyone free evening discus format data step need add need start collection tomorrow,0.403719293,0.443751483,0.511064082,0.520213402,0.062904534,0.032887734,0.050481276,0.062276811,0.054749316,0.039073858,0.095592261,0.036027814,0.068222923,0.104719291,0.059976708,0.088140265,0.055301165,0.057421956,0.035668294,0.096555788,0.295475006,0.445638448,0.136294007,0.11299146,0.009601091,0.794482589
50,U0X6CUQ3D,3/04/2016 13:27,4/04/2016 11:15,4/04/2016 11:15,21,Business Understanding,martinlehmann joined,0.401379113,0.590829588,0.312538193,0.28790638,0.126533613,0.027070489,0.037731044,0.009835006,0.013648375,0.045571321,0.013708103,0.125982291,0.04577075,0.063795603,0.063517638,0.037896162,0.175595031,0.027188955,0.009792154,0.176363468,0.165862501,0.229659289,0.234423697,0.149779409,0.220275104,0.475913852
51,U0X6CUQ3D,3/04/2016 13:27,4/04/2016 11:15,4/04/2016 11:15,21,Data Understanding,martinlehmann joined,0.401379113,0.590829588,0.312538193,0.28790638,0.126533613,0.027070489,0.037731044,0.009835006,0.013648375,0.045571321,0.013708103,0.125982291,0.04577075,0.063795603,0.063517638,0.037896162,0.175595031,0.027188955,0.009792154,0.176363468,0.165862501,0.229659289,0.234423697,0.149779409,0.220275104,0.475913852
52,U0X6CUQ3D,3/04/2016 13:27,4/04/2016 11:15,4/04/2016 11:15,21,Data Preparation,martinlehmann joined,0.401379113,0.590829588,0.312538193,0.28790638,0.126533613,0.027070489,0.037731044,0.009835006,0.013648375,0.045571321,0.013708103,0.125982291,0.04577075,0.063795603,0.063517638,0.037896162,0.175595031,0.027188955,0.009792154,0.176363468,0.165862501,0.229659289,0.234423697,0.149779409,0.220275104,0.475913852
53,U0X6CUQ3D,3/04/2016 13:27,4/04/2016 11:15,4/04/2016 11:15,21,Modelling,martinlehmann joined,0.401379113,0.590829588,0.312538193,0.28790638,0.126533613,0.027070489,0.037731044,0.009835006,0.013648375,0.045571321,0.013708103,0.125982291,0.04577075,0.063795603,0.063517638,0.037896162,0.175595031,0.027188955,0.009792154,0.176363468,0.165862501,0.229659289,0.234423697,0.149779409,0.220275104,0.475913852
54,U0X6CUQ3D,3/04/2016 13:27,4/04/2016 11:15,4/04/2016 11:15,21,Evaluation,martinlehmann joined,0.401379113,0.590829588,0.312538193,0.28790638,0.126533613,0.027070489,0.037731044,0.009835006,0.013648375,0.045571321,0.013708103,0.125982291,0.04577075,0.063795603,0.063517638,0.037896162,0.175595031,0.027188955,0.009792154,0.176363468,0.165862501,0.229659289,0.234423697,0.149779409,0.220275104,0.475913852
55,U0X6CUQ3D,3/04/2016 13:28,4/04/2016 11:15,4/04/2016 11:15,21,Deployment,martinlehmann joined,0.401379113,0.590829588,0.312538193,0.28790638,0.126533613,0.027070489,0.037731044,0.009835006,0.013648375,0.045571321,0.013708103,0.125982291,0.04577075,0.063795603,0.063517638,0.037896162,0.175595031,0.027188955,0.009792154,0.176363468,0.165862501,0.229659289,0.234423697,0.149779409,0.220275104,0.475913852
56,U0X6CUQ3D,3/04/2016 13:48,4/04/2016 11:36,4/04/2016 11:36,21,Modelling,Happy share,0.79658857,0.39892442,0.604541192,0.614579272,0.068457165,0.126073599,0.019172465,0.159948394,0.023316141,0.079803256,0.024323927,0.065620856,0.083252566,0.012660517,0.012135968,0.02000115,0.009979199,0.131522836,0.153321433,0.010410527,0.145893604,0.173344314,0.326044589,0.143227175,0.211490288,0.965595961
57,U0X6CUQ3D,3/04/2016 13:51,4/04/2016 11:38,4/04/2016 11:38,21,Business Understanding,asked someone met cic squared event use crisp industry said degree informal way worked well especially problem well defined understood business,0.455285223,0.46790526,0.602158414,0.628538977,0.02081487,0.049729138,0.070863683,0.09459399,0.1369056,0.040842853,0.134795792,0.021140662,0.040213437,0.057303874,0.058200788,0.069771625,0.030125299,0.048962778,0.096074564,0.029661048,0.203769714,0.098582804,0.208245248,0.18986851,0.299533695,0.893228889
58,U0X6CUQ3D,3/04/2016 13:55,4/04/2016 11:43,4/04/2016 11:43,21,Business Understanding,first thing determine business objective asking right question assessing situation outline resource constraint software available assumption data analyst list project risk determine data mining goal state project objective business term define success term produce project plan generally accepted timeline standard percent data prep data understanding deployment others,0.286149518,0.50214976,0.400934079,0.791047587,0.003122693,0.059012556,0.254100926,0.031147002,0.147010125,0.001980339,0.134115222,0.003422933,0.001806634,0.007779149,0.008527098,0.231812619,0.014738737,0.053836306,0.034141722,0.013445938,0.313214242,0.462843597,0.174727678,0.043377332,0.005837127,0.65660274
